datetime_clean,demanda_ree_kwh,generacion_total_ree_kwh,renovables_ree_kwh,solar_esios_kwh,eolica_esios_kwh,consumo_casa_datadis_kwh,pvgis_meteo_var_0,pvgis_meteo_var_1,tmed,prec,tmin,tmax,sol,hrMedia,pvgis_prod_media_diaria_kwh,pvgis_prod_media_mensual_kwh
2020-01-01 00:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-01 01:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-01 02:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-01 03:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-01 04:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-01 05:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-01 06:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-01 07:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-01 08:10:00,,,,,,,,100.01,,,,,,,2.0,62.12
2020-01-01 09:10:00,,,,,,,,257.01,,,,,,,2.0,62.12
2020-01-01 10:10:00,,,,,,,,390.01,,,,,,,2.0,62.12
2020-01-01 11:10:00,,,,,,,,466.01,,,,,,,2.0,62.12
2020-01-01 12:10:00,,,,,,,,495.01,,,,,,,2.0,62.12
2020-01-01 13:10:00,,,,,,,,456.01,,,,,,,2.0,62.12
2020-01-01 14:10:00,,,,,,,,369.01,,,,,,,2.0,62.12
2020-01-01 15:10:00,,,,,,,,232.01,,,,,,,2.0,62.12
2020-01-01 16:10:00,,,,,,,,76.01,,,,,,,2.0,62.12
2020-01-01 17:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-01 18:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-01 19:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-01 20:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-01 21:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-01 22:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-01 23:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-02 00:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-02 01:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-02 02:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-02 03:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-02 04:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-02 05:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-02 06:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-02 07:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-02 08:10:00,,,,,,,,59.0,,,,,,,2.0,62.12
2020-01-02 09:10:00,,,,,,,,133.0,,,,,,,2.0,62.12
2020-01-02 10:10:00,,,,,,,,191.0,,,,,,,2.0,62.12
2020-01-02 11:10:00,,,,,,,,279.0,,,,,,,2.0,62.12
2020-01-02 12:10:00,,,,,,,,285.0,,,,,,,2.0,62.12
2020-01-02 13:10:00,,,,,,,,276.0,,,,,,,2.0,62.12
2020-01-02 14:10:00,,,,,,,,186.0,,,,,,,2.0,62.12
2020-01-02 15:10:00,,,,,,,,187.0,,,,,,,2.0,62.12
2020-01-02 16:10:00,,,,,,,,77.01,,,,,,,2.0,62.12
2020-01-02 17:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-02 18:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-02 19:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-02 20:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-02 21:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-02 22:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-02 23:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
2020-01-03 00:10:00,,,,,,,,0.0,,,,,,,2.0,62.12
