fecha,irradiancia_wm2,H_sun,temp_2m,WS10m,Int
2023-01-01 00:10:00+00:00,0.0,0.0,13.32,1.79,0.0
2023-01-01 01:10:00+00:00,0.0,0.0,12.86,1.45,0.0
2023-01-01 02:10:00+00:00,0.0,0.0,12.73,1.17,0.0
2023-01-01 03:10:00+00:00,0.0,0.0,12.69,1.38,0.0
2023-01-01 04:10:00+00:00,0.0,0.0,12.78,1.66,0.0
2023-01-01 05:10:00+00:00,0.0,0.0,12.42,1.38,0.0
2023-01-01 06:10:00+00:00,0.0,0.0,12.11,1.45,0.0
2023-01-01 07:10:00+00:00,0.0,0.0,12.01,1.52,0.0
2023-01-01 08:10:00+00:00,77.0,7.54,12.49,1.17,0.0
2023-01-01 09:10:00+00:00,166.0,16.16,13.56,1.03,0.0
2023-01-01 10:10:00+00:00,239.0,22.95,15.35,0.34,0.0
2023-01-01 11:10:00+00:00,327.0,27.29,16.12,0.48,0.0
2023-01-01 12:10:00+00:00,435.01,28.64,17.18,0.9,0.0
2023-01-01 13:10:00+00:00,425.01,26.79,17.77,1.03,0.0
2023-01-01 14:10:00+00:00,347.01,22.03,18.04,1.45,0.0
2023-01-01 15:10:00+00:00,222.01,14.91,17.73,1.93,0.0
2023-01-01 16:10:00+00:00,62.0,6.05,17.02,1.59,0.0
2023-01-01 17:10:00+00:00,0.0,0.0,15.11,1.38,0.0
2023-01-01 18:10:00+00:00,0.0,0.0,14.45,0.97,0.0
2023-01-01 19:10:00+00:00,0.0,0.0,14.68,0.21,0.0
2023-01-01 20:10:00+00:00,0.0,0.0,14.6,0.76,0.0
2023-01-01 21:10:00+00:00,0.0,0.0,14.16,1.24,0.0
2023-01-01 22:10:00+00:00,0.0,0.0,13.08,1.66,0.0
2023-01-01 23:10:00+00:00,0.0,0.0,12.91,1.66,0.0
2023-01-02 00:10:00+00:00,0.0,0.0,12.85,1.93,0.0
2023-01-02 01:10:00+00:00,0.0,0.0,12.38,2.0,0.0
2023-01-02 02:10:00+00:00,0.0,0.0,12.27,1.93,0.0
2023-01-02 03:10:00+00:00,0.0,0.0,11.88,2.07,0.0
2023-01-02 04:10:00+00:00,0.0,0.0,11.51,2.14,0.0
2023-01-02 05:10:00+00:00,0.0,0.0,11.08,2.28,0.0
2023-01-02 06:10:00+00:00,0.0,0.0,10.83,2.07,0.0
2023-01-02 07:10:00+00:00,0.0,0.0,10.6,1.72,0.0
2023-01-02 08:10:00+00:00,99.01,7.54,11.16,1.17,0.0
2023-01-02 09:10:00+00:00,222.01,16.18,12.59,0.76,0.0
2023-01-02 10:10:00+00:00,323.01,22.99,14.6,0.41,0.0
2023-01-02 11:10:00+00:00,462.01,27.35,15.68,0.69,0.0
2023-01-02 12:10:00+00:00,483.01,28.72,16.54,1.24,0.0
2023-01-02 13:10:00+00:00,447.01,26.9,17.17,1.93,0.0
2023-01-02 14:10:00+00:00,259.0,22.15,17.42,2.34,0.0
2023-01-02 15:10:00+00:00,229.01,15.04,17.27,2.83,0.0
2023-01-02 16:10:00+00:00,52.0,6.19,16.79,2.83,0.0
2023-01-02 17:10:00+00:00,0.0,0.0,15.14,2.21,0.0
2023-01-02 18:10:00+00:00,0.0,0.0,14.58,1.66,0.0
2023-01-02 19:10:00+00:00,0.0,0.0,14.89,1.03,0.0
2023-01-02 20:10:00+00:00,0.0,0.0,14.74,0.9,0.0
2023-01-02 21:10:00+00:00,0.0,0.0,14.65,1.17,0.0
2023-01-02 22:10:00+00:00,0.0,0.0,14.32,1.72,0.0
2023-01-02 23:10:00+00:00,0.0,0.0,14.02,1.93,0.0
2023-01-03 00:10:00+00:00,0.0,0.0,13.48,1.79,0.0
2023-01-03 01:10:00+00:00,0.0,0.0,13.04,1.66,0.0
2023-01-03 02:10:00+00:00,0.0,0.0,12.79,1.66,0.0
2023-01-03 03:10:00+00:00,0.0,0.0,12.54,1.93,0.0
2023-01-03 04:10:00+00:00,0.0,0.0,12.43,1.93,0.0
2023-01-03 05:10:00+00:00,0.0,0.0,12.48,1.86,0.0
2023-01-03 06:10:00+00:00,0.0,0.0,12.43,1.86,0.0
2023-01-03 07:10:00+00:00,0.0,0.0,12.36,1.72,0.0
2023-01-03 08:10:00+00:00,77.0,7.54,12.84,1.52,0.0
