categoria,serie,tipo,fecha,valor,porcentaje
demanda,Prevista,Prevista,2022-12-31 23:00:00+00:00,21730,0.3346320279655666
demanda,Real,Real,2022-12-31 23:00:00+00:00,21489,0.33092073856199083
demanda,Programada,Programada,2022-12-31 23:00:00+00:00,21718,0.33444723347244254
demanda,Prevista,Prevista,2022-12-31 23:05:00+00:00,21515,0.3322318133386865
demanda,Real,Real,2022-12-31 23:05:00+00:00,21526,0.3324016738986087
demanda,Programada,Programada,2022-12-31 23:05:00+00:00,21718,0.3353665127627048
demanda,Prevista,Prevista,2022-12-31 23:10:00+00:00,21431,0.3312671963396915
demanda,Real,Real,2022-12-31 23:10:00+00:00,21545,0.33302933811481744
demanda,Programada,Programada,2022-12-31 23:10:00+00:00,21718,0.3357034655454911
demanda,Prevista,Prevista,2022-12-31 23:15:00+00:00,21479,0.33255918373666526
demanda,Real,Real,2022-12-31 23:15:00+00:00,21535,0.3334262312849335
demanda,Programada,Programada,2022-12-31 23:15:00+00:00,21573,0.33401458497840125
demanda,Prevista,Prevista,2022-12-31 23:20:00+00:00,21554,0.3334467821782178
demanda,Real,Real,2022-12-31 23:20:00+00:00,21513,0.3328125
demanda,Programada,Programada,2022-12-31 23:20:00+00:00,21573,0.33374071782178216
demanda,Real,Real,2022-12-31 23:25:00+00:00,21466,0.3323373225371956
demanda,Programada,Programada,2022-12-31 23:25:00+00:00,21573,0.33399390007895835
demanda,Prevista,Prevista,2022-12-31 23:25:00+00:00,21552,0.33366877738384604
demanda,Programada,Programada,2022-12-31 23:30:00+00:00,21408,0.33286169633833473
demanda,Prevista,Prevista,2022-12-31 23:30:00+00:00,21473,0.3338723470419031
demanda,Real,Real,2022-12-31 23:30:00+00:00,21434,0.3332659566197621
demanda,Programada,Programada,2022-12-31 23:35:00+00:00,21408,0.3334735268003178
demanda,Prevista,Prevista,2022-12-31 23:35:00+00:00,21370,0.3328815988286057
demanda,Real,Real,2022-12-31 23:35:00+00:00,21419,0.33364487437107654
demanda,Programada,Programada,2022-12-31 23:40:00+00:00,21408,0.3341658341658342
demanda,Prevista,Prevista,2022-12-31 23:40:00+00:00,21298,0.3324488011988012
demanda,Real,Real,2022-12-31 23:40:00+00:00,21358,0.3333853646353646
demanda,Programada,Programada,2022-12-31 23:45:00+00:00,21208,0.33268494697872875
demanda,Real,Real,2022-12-31 23:45:00+00:00,21285,0.3338928280102905
demanda,Prevista,Prevista,2022-12-31 23:45:00+00:00,21255,0.33342222501098073
demanda,Real,Real,2022-12-31 23:50:00+00:00,21281,0.3340187091913611
demanda,Programada,Programada,2022-12-31 23:50:00+00:00,21208,0.3328729281767956
demanda,Prevista,Prevista,2022-12-31 23:50:00+00:00,21223,0.3331083626318433
demanda,Real,Real,2022-12-31 23:55:00+00:00,21185,0.33322322889140554
demanda,Programada,Programada,2022-12-31 23:55:00+00:00,21208,0.33358500062916824
demanda,Prevista,Prevista,2022-12-31 23:55:00+00:00,21183,0.3331917704794262
demanda,Real,Real,2023-01-01 00:00:00+00:00,21102,0.3343632647240576
demanda,Programada,Programada,2023-01-01 00:00:00+00:00,20873,0.3307347372090444
