categoria,serie,tipo,fecha,valor,porcentaje
generacion,Hidráulica,Hidráulica,2022-12-31 23:00:00+00:00,78179.148,0.07132138695901323
generacion,Turbina de vapor,Turbina de vapor,2022-12-31 23:00:00+00:00,3883.284,0.003542647981220577
generacion,Carbón,Carbón,2022-12-31 23:00:00+00:00,10982.254,0.010018906668261093
generacion,Solar térmica,Solar térmica,2022-12-31 23:00:00+00:00,811.405,0.0007402297347302649
generacion,Eólica,Eólica,2022-12-31 23:00:00+00:00,161362.747,0.14720824176232197
generacion,Otras renovables,Otras renovables,2022-12-31 23:00:00+00:00,5311.81,0.004845865760301661
generacion,Nuclear,Nuclear,2022-12-31 23:00:00+00:00,155560.191,0.14191467752665973
generacion,Residuos no renovables,Residuos no renovables,2022-12-31 23:00:00+00:00,3318.656,0.0030275483273346877
generacion,Generación total,Generación total,2022-12-31 23:00:00+00:00,548076.47,1.0
generacion,Hidroeólica,Hidroeólica,2022-12-31 23:00:00+00:00,4.5,4.105266551581753e-06
generacion,Motores diésel,Motores diésel,2022-12-31 23:00:00+00:00,5630.689,0.005136773158679847
generacion,Ciclo combinado,Ciclo combinado,2022-12-31 23:00:00+00:00,65377.808,0.05964296186625199
generacion,Residuos renovables,Residuos renovables,2022-12-31 23:00:00+00:00,2472.641,0.0022557445314154794
generacion,Cogeneración,Cogeneración,2022-12-31 23:00:00+00:00,19340.669,0.017644133673536472
generacion,Turbina de gas,Turbina de gas,2022-12-31 23:00:00+00:00,939.688,0.0008572599367383898
generacion,Solar fotovoltaica,Solar fotovoltaica,2022-12-31 23:00:00+00:00,34900.98,0.03183951684698305
generacion,Residuos no renovables,Residuos no renovables,2023-01-01 23:00:00+00:00,3335.7235,0.0025562214442814406
generacion,Hidroeólica,Hidroeólica,2023-01-01 23:00:00+00:00,11.132,8.530640239738395e-06
generacion,Nuclear,Nuclear,2023-01-01 23:00:00+00:00,163569.964,0.1253464352237658
generacion,Solar térmica,Solar térmica,2023-01-01 23:00:00+00:00,194.716,0.00014921417040252436
generacion,Eólica,Eólica,2023-01-01 23:00:00+00:00,97582.74,0.07477930727164296
generacion,Residuos renovables,Residuos renovables,2023-01-01 23:00:00+00:00,2379.4275,0.0018233956143586174
generacion,Carbón,Carbón,2023-01-01 23:00:00+00:00,12885.539,0.009874406890416677
