categoria,serie,tipo,fecha,valor,porcentaje
generacion,Renovable,Renovable,2022-12-31 23:00:00+00:00,283043.231,0.5164301817226346
generacion,No renovable,No renovable,2022-12-31 23:00:00+00:00,265033.239,0.4835698182773656
generacion,Renovable,Renovable,2023-01-01 23:00:00+00:00,279005.7175,0.4276136185451999
generacion,No renovable,No renovable,2023-01-01 23:00:00+00:00,373465.8255,0.5723863814548
generacion,Renovable,Renovable,2023-01-02 23:00:00+00:00,298857.667,0.42817790286310586
generacion,No renovable,No renovable,2023-01-02 23:00:00+00:00,399117.789,0.5718220971368941
generacion,Renovable,Renovable,2023-01-03 23:00:00+00:00,284841.347,0.4350741731972543
generacion,No renovable,No renovable,2023-01-03 23:00:00+00:00,369854.713,0.5649258268027456
generacion,Renovable,Renovable,2023-01-04 23:00:00+00:00,267207.8305,0.4038035348212668
generacion,No renovable,No renovable,2023-01-04 23:00:00+00:00,394519.4885,0.5961964651787333
generacion,No renovable,No renovable,2023-01-05 23:00:00+00:00,329042.462,0.5294777346269597
generacion,Renovable,Renovable,2023-01-05 23:00:00+00:00,292404.75,0.4705222653730402
generacion,Renovable,Renovable,2023-01-06 23:00:00+00:00,430306.523,0.6296256111334405
generacion,No renovable,No renovable,2023-01-06 23:00:00+00:00,253125.846,0.37037438886655955
generacion,No renovable,No renovable,2023-01-07 23:00:00+00:00,229513.812,0.32050053031406733
generacion,Renovable,Renovable,2023-01-07 23:00:00+00:00,486596.741,0.6794994696859327
generacion,Renovable,Renovable,2023-01-08 23:00:00+00:00,469144.328,0.610882022049226
generacion,No renovable,No renovable,2023-01-08 23:00:00+00:00,298834.285,0.389117977950774
generacion,Renovable,Renovable,2023-01-09 23:00:00+00:00,424747.9705,0.5559515689746825
generacion,No renovable,No renovable,2023-01-09 23:00:00+00:00,339253.7775,0.4440484310253175
generacion,Renovable,Renovable,2023-01-10 23:00:00+00:00,402807.9075,0.54012190309359
generacion,No renovable,No renovable,2023-01-10 23:00:00+00:00,342964.3065,0.4598780969064101
generacion,No renovable,No renovable,2023-01-11 23:00:00+00:00,343019.36,0.4656017914042666
generacion,Renovable,Renovable,2023-01-11 23:00:00+00:00,393703.235,0.5343982085957334
