Latitude (decimal degrees):	38.346
Longitude (decimal degrees):	-0.489
Elevation (m):	30
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,0.0,0.0,13.32,1.79,0.0
20230101:0110,0.0,0.0,0.0,0.0,0.0,12.86,1.45,0.0
20230101:0210,0.0,0.0,0.0,0.0,0.0,12.73,1.17,0.0
20230101:0310,0.0,0.0,0.0,0.0,0.0,12.69,1.38,0.0
20230101:0410,0.0,0.0,0.0,0.0,0.0,12.78,1.66,0.0
20230101:0510,0.0,0.0,0.0,0.0,0.0,12.42,1.38,0.0
20230101:0610,0.0,0.0,0.0,0.0,0.0,12.11,1.45,0.0
20230101:0710,0.0,0.0,0.0,0.0,0.0,12.01,1.52,0.0
20230101:0810,115.6,86.3,66.14,1.39,7.54,12.49,1.17,0.0
20230101:0910,179.11,87.4,135.4,3.0,16.16,13.56,1.03,0.0
20230101:1010,238.76,102.3,192.57,4.32,22.95,15.35,0.34,0.0
20230101:1110,360.31,201.02,241.87,5.91,27.29,16.12,0.48,0.0
20230101:1210,577.72,506.6,220.32,7.87,28.64,17.18,0.9,0.0
20230101:1310,593.24,564.47,184.08,7.69,26.8,17.77,1.03,0.0
20230101:1410,523.55,500.59,150.06,6.28,22.03,18.04,1.45,0.0
20230101:1510,382.78,357.54,112.92,4.01,14.91,17.73,1.93,0.0
20230101:1610,115.04,103.52,52.92,1.12,6.06,17.02,1.59,0.0
20230101:1710,0.0,0.0,0.0,0.0,0.0,15.11,1.38,0.0
20230101:1810,0.0,0.0,0.0,0.0,0.0,14.45,0.97,0.0
20230101:1910,0.0,0.0,0.0,0.0,0.0,14.68,0.21,0.0
20230101:2010,0.0,0.0,0.0,0.0,0.0,14.6,0.76,0.0
20230101:2110,0.0,0.0,0.0,0.0,0.0,14.16,1.24,0.0
20230101:2210,0.0,0.0,0.0,0.0,0.0,13.08,1.66,0.0
20230101:2310,0.0,0.0,0.0,0.0,0.0,12.91,1.66,0.0
20230102:0010,0.0,0.0,0.0,0.0,0.0,12.85,1.93,0.0
20230102:0110,0.0,0.0,0.0,0.0,0.0,12.38,2.0,0.0
20230102:0210,0.0,0.0,0.0,0.0,0.0,12.27,1.93,0.0
20230102:0310,0.0,0.0,0.0,0.0,0.0,11.88,2.07,0.0
20230102:0410,0.0,0.0,0.0,0.0,0.0,11.51,2.14,0.0
20230102:0510,0.0,0.0,0.0,0.0,0.0,11.08,2.28,0.0
20230102:0610,0.0,0.0,0.0,0.0,0.0,10.83,2.07,0.0
20230102:0710,0.0,0.0,0.0,0.0,0.0,10.6,1.72,0.0
20230102:0810,230.37,224.0,62.74,1.79,7.53,11.16,1.17,0.0
20230102:0910,343.87,275.47,140.06,4.01,16.17,12.59,0.76,0.0
20230102:1010,440.41,346.4,194.1,5.84,22.99,14.6,0.41,0.0
20230102:1110,665.73,724.98,122.18,8.36,27.35,15.68,0.69,0.0
20230102:1210,687.81,744.38,128.38,8.73,28.72,16.54,1.24,0.0
20230102:1310,654.88,688.67,129.93,8.08,26.9,17.17,1.93,0.0
20230102:1410,298.45,170.37,193.98,4.68,22.15,17.42,2.34,0.0
20230102:1510,409.35,400.59,98.19,4.14,15.04,17.27,2.83,0.0
20230102:1610,66.45,50.88,45.95,0.94,6.19,16.79,2.83,0.0
20230102:1710,0.0,0.0,0.0,0.0,0.0,15.14,2.21,0.0
20230102:1810,0.0,0.0,0.0,0.0,0.0,14.58,1.66,0.0
20230102:1910,0.0,0.0,0.0,0.0,0.0,14.89,1.03,0.0
20230102:2010,0.0,0.0,0.0,0.0,0.0,14.74,0.9,0.0
20230102:2110,0.0,0.0,0.0,0.0,0.0,14.65,1.17,0.0
20230102:2210,0.0,0.0,0.0,0.0,0.0,14.32,1.72,0.0
20230102:2310,0.0,0.0,0.0,0.0,0.0,14.02,1.93,0.0
20230103:0010,0.0,0.0,0.0,0.0,0.0,13.48,1.79,0.0
20230103:0110,0.0,0.0,0.0,0.0,0.0,13.04,1.66,0.0
20230103:0210,0.0,0.0,0.0,0.0,0.0,12.79,1.66,0.0
