Título,Estructura de la generación por tecnologías_27-07-2026_03-08-2026,,,,,,,
Sistema eléctrico,Nacional,,,,,,,
Magnitudes,GWh,,,,,,,
 ,,,,,,,,
Fecha,27/07/2026,28/07/2026,29/07/2026,30/07/2026,31/07/2026,01/08/2026,02/08/2026,03/08/2026
Hidráulica,"57,2248","67,30330000000001","64,6917","70,0325","65,53880000000001","58,771699999999996","56,6053","67,4518"
Nuclear,"166,3777","166,6488","166,293","165,6299","165,6237","145,6478","136,1154","137,9541"
Carbón,"-0,1134","-0,1033","-0,0906","-0,0895","-0,094","-0,11","-0,099","-0,0795"
Motores diésel,"8,2925","9,11228","9,000219999999999","8,65851","9,30335","9,61714","8,58435","9,19894"
Turbina de gas,"2,85627","2,52246","2,7657800000000003","2,67126","2,89577","3,10316","2,56383","2,8667800000000003"
Turbina de vapor,"10,77521","10,73171","9,79726","10,219430000000001","10,59965","9,070290000000002","8,828389999999999","10,52741"
Ciclo combinado,"135,71304999999998","185,04741","211,47347","215,12044","202,62154","177,68976","170,9569","199,44858"
Eólica,"128,08629","87,90507000000001","103,51752","98,3571","105,16076","101,8698","78,01611","115,75889"
Solar fotovoltaica,"262,03841","262,77852","271,13202","267,70482","262,21641999999997","262,8696","244,74785","245,94298"
Solar térmica,"21,082099999999997","21,04928","22,20312","22,6953","22,146919999999998","20,647830000000003","21,606270000000002","21,8008"
Otras renovables,"11,71278","11,63806","10,73649","11,60007","12,076780000000001","12,21774","12,468110000000001","13,38433"
Cogeneración,"33,40542","37,408120000000004","37,84328","38,1845","38,832260000000005","33,42209","31,09909","37,6385"
Residuos no renovables,"2,708065","2,5418499999999997","2,674725","2,76698","2,98343","2,981045","2,80095","2,8762350000000003"
Residuos renovables,"1,7625650000000002","1,52985","1,587525","1,66778","1,87463","1,9148450000000001","1,87165","1,878535"
Generación total,"841,9217600000001","866,11341","913,62551","915,2190899999999","901,7800100000001","839,7128","776,1651999999999","866,64838"
 ,,,,,,,,
Notas,,,,,,,,
 ,Los datos no incluyen la energía generada estimada por las instalaciones de autoconsumo.,,,,,,,
 ,,,,,,,,
Estados,,,,,,,,
 ,Programa: 27/07/2026 - 02/08/2026,,,,,,,
 ,Previsto: 03/08/2026 - 03/08/2026,,,,,,,
 ,,,,,,,,
Fecha exportación,03/08/2026 - 13:16:36,,,,,,,
 ,,,,,,,,
Fuente,www.ree.es,,,,,,,
