Título,Evolución de la demanda (B.C.)_27-07-2026_03-08-2026,,,,,,,
Sistema eléctrico,Nacional,,,,,,,
Magnitudes,GWh,,,,,,,
 ,,,,,,,,
Fecha,27/07/2026,28/07/2026,29/07/2026,30/07/2026,31/07/2026,01/08/2026,02/08/2026,03/08/2026
Demanda,"768,8651600000001","818,81424","840,58651","845,49387","825,64192","746,9269","700,1328000000001","804,04602"
 ,,,,,,,,
Notas,,,,,,,,
 ,Los datos no incluyen la energía generada estimada por las instalaciones de autoconsumo.,,,,,,,
 ,,,,,,,,
Estados,,,,,,,,
 ,Programa: 27/07/2026 - 02/08/2026,,,,,,,
 ,Previsto: 03/08/2026 - 03/08/2026,,,,,,,
 ,,,,,,,,
Fecha exportación,03/08/2026 - 13:15:52,,,,,,,
 ,,,,,,,,
Fuente,www.ree.es,,,,,,,
